ModbusManager 1.0.8
20150530
Product: F750
Database: 3152
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"BT1 Outdoor temp";"Outdoor temperature";40004;"°C";s16;10;0;0;0;R;
"EB23-BT2 Supply temp S4";"Supply temperature for system 4";40005;"°C";s16;10;0;0;0;R;
"EB22-BT2 Supply temp S3";"Supply temperature for system 3";40006;"°C";s16;10;0;0;0;R;
"EB21-BT2 Supply temp S2";"Supply temperature for system 2";40007;"°C";s16;10;0;0;0;R;
"BT2 Supply temp S1";"Supply temperature for system 1";40008;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT3 Return temp";"Return temperature";40012;"°C";s16;10;0;0;0;R;
"BT7 Hot Water top";"";40013;"°C";s16;10;0;0;0;R;
"BT6 Hot Water load";"";40014;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT12 Cond. out";"";40017;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT14 Hot gas temp";"";40018;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT15 Liquid line";"";40019;"°C";s16;10;0;0;0;R;
"EB100-BT16 Evaporator temp";"";40020;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT17 Suction";"";40022;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp.";"";40025;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp.";"";40026;"°C";s16;10;0;0;0;R;
"EB23-BT50 Room Temp S4";"";40030;"°C";s16;10;0;0;0;R;
"EB22-BT50 Room Temp S3";"";40031;"°C";s16;10;0;0;0;R;
"EB21-BT50 Room Temp S2";"";40032;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1";"";40033;"°C";s16;10;0;0;0;R;
"EQ1-BT64 PCS4 Supply Temp";"PCS4 Only";40045;"°C";s16;10;0;0;0;R;
"EB100-BT61 Supply Radiator Temp";"";40047;"°C";s16;10;0;0;0;R;
"EB100-BT62 Return Radiator Temp";"";40048;"°C";s16;10;0;0;0;R;
"EB100-BS1 Air flow";"";40050;"";s16;10;0;0;0;R;
"EB100-BS1 Air flow unfiltered";"Unfiltered air flow value";40051;"";s16;100;0;0;0;R;
"EB100-FD1 Temperature limiter";"";40054;"";s16;1;0;0;0;R;
"BT1 Average";"EB100-BT1 Outdoor temperature average";40067;"°C";s16;10;0;0;0;R;
"BT25 external supply temp";"";40071;"°C";s16;10;0;0;0;R;
"BF1 Flow";"Current flow";40072;"l/m";s16;10;0;0;0;R;
"EB100-FR1 Anode Status";"";40074;"";s16;1;0;0;0;R;
"BT6 external water heater load temp.";"This includes DEW and SCA accessory";40077;"°C";s16;10;0;0;0;R;
"BT7 external water heater top temp.";"This includes DEW and SCA accessory";40078;"°C";s16;10;0;0;0;R;
"EB100-BE3 Current Phase 3";"";40079;"A";s32;10;0;0;0;R;
"EB100-BE2 Current Phase 2";"";40081;"A";s32;10;0;0;0;R;
"EB100-BE1 Current Phase 1";"";40083;"A";s32;10;0;0;0;R;
"EB100-BT20 Exhaust air temp.";"";40107;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp.";"";40108;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp.";"";40109;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp.";"";40110;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp.";"";40111;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp.";"";40112;"°C";s16;10;0;0;0;R;
"EB23-BT3 Return temp S4";"Return temperature for system 4";40127;"°C";s16;10;0;0;0;R;
"EB22-BT3 Return temp S3";"Return temperature for system 3";40128;"°C";s16;10;0;0;0;R;
"EB21-BT3 Return temp S2";"Return temperature for system 2";40129;"°C";s16;10;0;0;0;R;
"AZ2-BT22 Supply air temp. SAM";"";40141;"ºC";s16;10;0;0;0;R;
"AZ2-BT23 Outdoor temp. SAM";"";40142;"ºC";s16;10;0;0;0;R;
"AZ2-BT68 Flow temp. SAM";"Heat medium flow temperature to SAM module";40143;"°C";s16;10;0;0;0;R;
"AZ2-BT69 Return temp. SAM";"Heat medium return temperature from SAM module";40144;"°C";s16;10;0;0;0;R;
"EP30-BT53 Solar Panel Temp";"";40157;"°C";s16;10;0;0;0;R;
"EP30-BT54 Solar Load Temp";"";40158;"°C";s16;10;0;0;0;R;
"Software version";"";43001;"";u16;1;0;0;0;R;
"Degree Minutes";"";43005;"";s16;10;-30000;30000;0;R/W;
"Calculated Supply Temperature S4";"";43006;"°C";s16;10;0;0;0;R;
"Calculated Supply Temperature S3";"";43007;"°C";s16;10;0;0;0;R;
"Calculated Supply Temperature S2";"";43008;"°C";s16;10;0;0;0;R;
"Calculated Supply Temperature S1";"";43009;"°C";s16;10;0;0;0;R;
"Freeze Protection Status";"1 = Freeze protection active";43013;"";u8;1;0;0;0;R;
"t. after start timer";"";43061;"";u8;1;0;0;0;R;
"t. after mode change";"Time after mode change";43062;"";u8;1;0;0;0;R;
"HMF dT set.";"set point delta T for the heat medium flow";43064;"";s16;10;0;0;0;R;
"HMF dT act.";"Current value of the delta T for the heat medium flow";43065;"";s16;10;0;0;0;R;
"Tot. op.time add.";"Total electric additive operation time";43081;"h";s32;10;0;9999999;0;R;
"Int. el.add. Power";"Current power from the internal electrical addition";43084;"kW";s16;100;0;0;0;R;
"Prio";"Indicates what heating action (HW/heat/pool) currently prioritised 10=Off 20=Hot Water 30=Heat 40=Pool 41=Pool 2 50=Transfer 60=Cooling";43086;"";u8;1;0;0;0;R;
"Int. el.add. State";"State of the internal electrical addition";43091;"";u8;1;0;0;0;R;
"Fan speed current";"The current fan speed after scheduling and blocks are considered";43108;"%";u8;1;0;0;0;R;
"Compr. current min.freq.";"The current minimum frequency of the compressor";43122;"Hz";s16;1;0;0;0;R;
"Compr. current max.freq.";"The current maximum frequency of the compressor";43123;"Hz";s16;1;0;0;0;R;
"Airflow ref.";"Reference value for the airflow.";43124;"";s16;10;0;0;0;R;
"Inverter com. timer";"This value shows the time since last communication with the inverter";43132;"sec";u16;1;0;0;0;R;
"Inverter drive status";"";43133;"";u16;1;0;0;0;R;
"Compr. current freq.";"The frequency of the compressor at the moment";43136;"Hz";u16;10;0;0;0;R;
"Inverter alarm code";"";43137;"";u16;1;0;0;0;R;
"Inverter fault code";"";43138;"";u16;1;0;0;0;R;
"compr. temp.";"Current compressor temparture";43140;"°C";s16;10;0;0;0;R;
"compr. in power";"The power delivered from the inverter to the compressor";43141;"W";u16;1;0;0;0;R;
"Compr. energy total";"Total compressor energy in kWh";43144;"kWh";u32;100;0;9999999;0;R;
"Compr. in current";"The current delivered from the inverter to the compressor";43147;"A";s16;1;0;0;0;R;
"Chargepump speed";"";43181;"";s16;1;0;0;0;R;
"Compr. freq. setpoint";"The targeted compressor frequency";43182;"Hz";u16;1;0;0;0;R;
"Tot. HW op.time add.";"Total electric additive operation time in hot water mode";43239;"h";s32;10;0;9999999;0;R;
"Compr. energy HW";"Compressor energy during hot water production in kWh";43305;"kWh";u32;100;0;9999999;0;R;
"compr. in power mean";"Mean power delivered from the inverter to the compressor. Mean is calculated every 10 seconds.";43375;"W";s16;1;0;0;0;R;
"Inverter mem error code";"";43382;"";u16;1;0;0;0;R;
"Compressor starts EB100-EP14";"Number of compressorer starts";43416;"";s32;1;0;9999999;0;R;
"Tot. op.time compr. EB100-EP14";"Total compressorer operation time";43420;"h";s32;1;0;9999999;0;R;
"Tot. HW op.time compr. EB100-EP14";"Total compressorer operation time in hot water mode";43424;"h";s32;1;0;9999999;0;R;
"Compressor State EP14";"20 = Stopped, 40 = Starting, 60 = Running, 100 = Stopping";43427;"";u8;1;0;0;0;R;
"Compressor status EP14";"Indicates if the compressor is supplied with power 0=Off 1=On";43435;"";u8;1;0;0;0;R;
